,Zadanie,Czas wykonania,Termin,Nakiedy,odchy
0,17,7,8,7,1
1,83,16,10,23,169
2,54,4,44,27,289
3,133,10,22,37,225
4,98,2,43,39,16
5,56,15,26,54,784
6,195,19,30,73,1849
7,115,19,76,92,256
8,16,15,77,107,900
9,184,1,68,108,1600
10,122,14,123,122,1
11,172,14,106,136,900
12,38,11,119,147,784
13,12,1,153,148,25
14,130,16,192,164,784
15,7,16,196,180,256
16,67,20,202,200,4
17,55,17,218,217,1
18,192,3,218,220,4
19,35,16,241,236,25
20,121,12,234,248,196
21,110,4,253,252,1
22,84,18,247,270,529
23,170,12,277,282,25
24,180,17,263,299,1296
25,40,18,294,317,529
26,142,5,318,322,16
27,157,5,329,327,4
28,147,16,327,343,256
29,105,10,350,353,9
30,150,14,335,367,1024
31,171,7,372,374,4
32,190,7,377,381,16
33,200,10,380,391,121
34,5,6,380,397,289
35,179,14,392,411,361
36,48,8,435,419,256
37,37,12,427,431,16
38,137,20,460,451,81
39,132,17,461,468,49
40,62,8,496,476,400
41,50,10,468,486,324
42,191,16,494,502,64
43,24,2,501,504,9
44,148,10,503,514,121
45,99,14,510,528,324
46,164,13,510,541,961
47,88,6,523,547,576
48,85,7,546,554,64
49,140,5,551,559,64
50,19,8,581,567,196
51,187,9,551,576,625
52,53,14,529,590,3721
53,28,20,551,610,3481
54,8,19,575,629,2916
55,51,14,602,643,1681
56,9,2,619,645,676
57,166,12,620,657,1369
58,143,4,646,661,225
59,32,11,628,672,1936
60,159,11,650,683,1089
61,34,8,645,691,2116
62,181,16,670,707,1369
63,52,15,702,722,400
64,161,8,739,730,81
65,100,14,706,744,1444
66,196,9,738,753,225
67,103,11,787,764,529
68,194,15,789,779,100
69,23,19,781,798,289
70,152,19,800,817,289
71,124,15,851,832,361
72,82,8,812,840,784
73,146,7,855,847,64
74,178,11,853,858,25
75,25,15,880,873,49
76,87,11,871,884,169
77,112,20,911,904,49
78,102,9,952,913,1521
79,72,14,882,927,2025
80,70,20,945,947,4
81,111,14,965,961,16
82,42,11,958,972,196
83,71,5,985,977,64
84,141,10,1021,987,1156
85,57,11,1027,998,841
86,92,17,1076,1015,3721
87,4,17,1059,1032,729
88,131,3,1046,1035,121
89,75,13,1077,1048,841
90,90,6,1061,1054,49
91,174,20,1090,1074,256
92,65,15,1117,1089,784
93,93,16,1118,1105,169
94,43,13,1166,1118,2304
95,61,16,1120,1134,196
96,128,19,1174,1153,441
97,60,10,1206,1163,1849
98,26,16,1202,1179,529
99,135,13,1226,1192,1156
100,176,4,1174,1196,484
101,46,16,1306,1212,8836
102,64,6,1233,1218,225
103,20,7,1261,1225,1296
104,3,19,1339,1244,9025
105,10,16,1301,1260,1681
106,104,17,1443,1277,27556
107,59,14,1394,1291,10609
108,58,13,1452,1304,21904
109,13,1,1336,1305,961
110,160,18,1511,1323,35344
111,189,5,1348,1328,400
112,175,16,1535,1344,36481
113,154,14,1526,1358,28224
114,113,8,1473,1366,11449
115,80,13,1542,1379,26569
116,44,15,1586,1394,36864
117,114,14,1575,1408,27889
118,107,6,1529,1414,13225
119,127,10,1527,1424,10609
120,119,18,1630,1442,35344
121,163,14,1599,1456,20449
122,168,7,1539,1463,5776
123,15,10,1555,1473,6724
124,134,17,1659,1490,28561
125,36,11,1584,1501,6889
126,139,12,1601,1513,7744
127,68,14,1669,1527,20164
128,198,18,1705,1545,25600
129,22,12,1666,1557,11881
130,11,11,1631,1568,3969
131,173,12,1684,1580,10816
132,47,20,1806,1600,42436
133,101,11,1695,1611,7056
134,188,1,1613,1612,1
135,186,14,1782,1626,24336
136,1,10,1746,1636,12100
137,96,9,1763,1645,13924
138,136,10,1739,1655,7056
139,118,17,1858,1672,34596
140,86,10,1811,1682,16641
141,109,17,1892,1699,37249
142,73,6,1777,1705,5184
143,108,16,1910,1721,35721
144,162,18,1916,1739,31329
145,6,8,1820,1747,5329
146,144,13,1874,1760,12996
147,94,7,1818,1767,2601
148,14,2,1804,1769,1225
149,106,16,1968,1785,33489
150,183,8,1895,1793,10404
151,145,14,2039,1807,53824
152,89,17,2089,1824,70225
153,177,13,1957,1837,14400
154,30,2,1875,1839,1296
155,199,18,2125,1857,71824
156,197,17,2136,1874,68644
157,129,11,2048,1885,26569
158,155,5,2009,1890,14161
159,117,20,2249,1910,114921
160,66,17,2252,1927,105625
161,2,10,2134,1937,38809
162,29,16,2223,1953,72900
163,49,20,2310,1973,113569
164,95,11,2201,1984,47089
165,18,5,2098,1989,11881
166,153,9,2158,1998,25600
167,116,17,2315,2015,90000
168,158,13,2251,2028,49729
169,31,4,2104,2032,5184
170,81,5,2123,2037,7396
171,76,15,2310,2052,66564
172,39,19,2374,2071,91809
173,125,4,2131,2075,3136
174,149,4,2143,2079,4096
175,77,1,2109,2080,841
176,167,3,2135,2083,2704
177,182,17,2346,2100,60516
178,69,6,2187,2106,6561
179,185,18,2370,2124,60516
180,151,8,2233,2132,10201
181,74,12,2284,2144,19600
182,169,11,2301,2155,21316
183,138,18,2381,2173,43264
184,193,4,2195,2177,324
185,41,20,2399,2197,40804
186,21,19,2396,2216,32400
187,126,19,2470,2235,55225
188,156,18,2423,2253,28900
189,97,7,2298,2260,1444
190,120,8,2353,2268,7225
191,78,20,2480,2288,36864
192,33,1,2323,2289,1156
193,79,3,2312,2292,400
194,27,15,2439,2307,17424
195,63,11,2453,2318,18225
196,91,10,2460,2328,17424
197,165,8,2489,2336,23409
198,123,3,2439,2339,10000
199,45,2,2385,2341,1936
