,Zadanie,Czas wykonania,Termin,Nakiedy,odchy
0,83,16,10,16,36
1,17,7,8,23,225
2,133,10,22,33,121
3,195,19,30,52,484
4,98,2,43,54,121
5,54,4,44,58,196
6,56,15,26,73,2209
7,184,1,68,74,36
8,115,19,76,93,289
9,16,15,77,108,961
10,172,14,106,122,256
11,38,11,119,133,196
12,122,14,123,147,576
13,12,1,153,148,25
14,130,16,192,164,784
15,7,16,196,180,256
16,67,20,202,200,4
17,55,17,218,217,1
18,192,3,218,220,4
19,121,12,234,232,4
20,35,16,241,248,49
21,110,4,253,252,1
22,84,18,247,270,529
23,180,17,263,287,576
24,170,12,277,299,484
25,40,18,294,317,529
26,142,5,318,322,16
27,147,16,327,338,121
28,157,5,329,343,196
29,150,14,335,357,484
30,171,7,372,364,64
31,190,7,377,371,36
32,105,10,350,381,961
33,200,10,380,391,121
34,5,6,380,397,289
35,179,14,392,411,361
36,37,12,427,423,16
37,48,8,435,431,16
38,132,17,461,448,169
39,137,20,460,468,64
40,191,16,494,484,100
41,50,10,468,494,676
42,62,8,496,502,36
43,24,2,501,504,9
44,148,10,503,514,121
45,164,13,510,527,289
46,99,14,510,541,961
47,88,6,523,547,576
48,140,5,551,552,1
49,85,7,546,559,169
50,53,14,529,573,1936
51,187,9,551,582,961
52,51,14,602,596,36
53,28,20,551,616,4225
54,9,2,619,618,1
55,19,8,581,626,2025
56,8,19,575,645,4900
57,143,4,646,649,9
58,166,12,620,661,1681
59,32,11,628,672,1936
60,34,8,645,680,1225
61,159,11,650,691,1681
62,181,16,670,707,1369
63,52,15,702,722,400
64,100,14,706,736,900
65,161,8,739,744,25
66,196,9,738,753,225
67,23,19,781,772,81
68,103,11,787,783,16
69,194,15,789,798,81
70,152,19,800,817,289
71,82,8,812,825,169
72,124,15,851,840,121
73,178,11,853,851,4
74,146,7,855,858,9
75,25,15,880,873,49
76,87,11,871,884,169
77,72,14,882,898,256
78,112,20,911,918,49
79,102,9,952,927,625
80,70,20,945,947,4
81,42,11,958,958,0
82,111,14,965,972,49
83,71,5,985,977,64
84,141,10,1021,987,1156
85,4,17,1059,1004,3025
86,57,11,1027,1015,144
87,92,17,1076,1032,1936
88,131,3,1046,1035,121
89,75,13,1077,1048,841
90,90,6,1061,1054,49
91,174,20,1090,1074,256
92,93,16,1118,1090,784
93,65,15,1117,1105,144
94,61,16,1120,1121,1
95,128,19,1174,1140,1156
96,43,13,1166,1153,169
97,176,4,1174,1157,289
98,26,16,1202,1173,841
99,60,10,1206,1183,529
100,135,13,1226,1196,900
101,64,6,1233,1202,961
102,10,16,1301,1218,6889
103,20,7,1261,1225,1296
104,46,16,1306,1241,4225
105,59,14,1394,1255,19321
106,3,19,1339,1274,4225
107,104,17,1443,1291,23104
108,189,5,1348,1296,2704
109,160,18,1511,1314,38809
110,58,13,1452,1327,15625
111,175,16,1535,1343,36864
112,13,1,1336,1344,64
113,113,8,1473,1352,14641
114,154,14,1526,1366,25600
115,80,13,1542,1379,26569
116,44,15,1586,1394,36864
117,114,14,1575,1408,27889
118,127,10,1527,1418,11881
119,119,18,1630,1436,37636
120,163,14,1599,1450,22201
121,15,10,1555,1460,9025
122,107,6,1529,1466,3969
123,168,7,1539,1473,4356
124,36,11,1584,1484,10000
125,134,17,1659,1501,24964
126,11,11,1631,1512,14161
127,139,12,1601,1524,5929
128,198,18,1705,1542,26569
129,68,14,1669,1556,12769
130,22,12,1666,1568,9604
131,101,11,1695,1579,13456
132,173,12,1684,1591,8649
133,186,14,1782,1605,31329
134,188,1,1613,1606,49
135,136,10,1739,1616,15129
136,47,20,1806,1636,28900
137,1,10,1746,1646,10000
138,96,9,1763,1655,11664
139,118,17,1858,1672,34596
140,109,17,1892,1689,41209
141,86,10,1811,1699,12544
142,162,18,1916,1717,39601
143,73,6,1777,1723,2916
144,6,8,1820,1731,7921
145,144,13,1874,1744,16900
146,94,7,1818,1751,4489
147,108,16,1910,1767,20449
148,106,16,1968,1783,34225
149,14,2,1804,1785,361
150,177,13,1957,1798,25281
151,145,14,2039,1812,51529
152,183,8,1895,1820,5625
153,89,17,2089,1837,63504
154,30,2,1875,1839,1296
155,199,18,2125,1857,71824
156,197,17,2136,1874,68644
157,129,11,2048,1885,26569
158,117,20,2249,1905,118336
159,29,16,2223,1921,91204
160,155,5,2009,1926,6889
161,66,17,2252,1943,95481
162,49,20,2310,1963,120409
163,2,10,2134,1973,25921
164,153,9,2158,1982,30976
165,95,11,2201,1993,43264
166,18,5,2098,1998,10000
167,116,17,2315,2015,90000
168,158,13,2251,2028,49729
169,39,19,2374,2047,106929
170,31,4,2104,2051,2809
171,76,15,2310,2066,59536
172,81,5,2123,2071,2704
173,125,4,2131,2075,3136
174,149,4,2143,2079,4096
175,182,17,2346,2096,62500
176,77,1,2109,2097,144
177,167,3,2135,2100,1225
178,69,6,2187,2106,6561
179,74,12,2284,2118,27556
180,151,8,2233,2126,11449
181,185,18,2370,2144,51076
182,193,4,2195,2148,2209
183,41,20,2399,2168,53361
184,138,18,2381,2186,38025
185,169,11,2301,2197,10816
186,21,19,2396,2216,32400
187,97,7,2298,2223,5625
188,156,18,2423,2241,33124
189,78,20,2480,2261,47961
190,126,19,2470,2280,36100
191,79,3,2312,2283,841
192,27,15,2439,2298,19881
193,33,1,2323,2299,576
194,63,11,2453,2310,20449
195,120,8,2353,2318,1225
196,91,10,2460,2328,17424
197,45,2,2385,2330,3025
198,165,8,2489,2338,22801
199,123,3,2439,2341,9604
